user_id,treatment,tenure_days,device,region,converted
2608,0,622.0,mobile,NA,1
1840,0,866.0,desktop,NA,0
198,1,114.0,mobile,EU,0
2147,0,805.0,mobile,APAC,0
3907,1,98.0,desktop,APAC,0
5335,0,6.0,mobile,EU,0
3854,0,654.0,mobile,NA,0
4958,0,889.0,mobile,NA,0
4867,0,403.0,desktop,APAC,0
1495,1,770.0,mobile,NA,0
2876,1,251.0,mobile,NA,0
1833,1,783.0,mobile,NA,1
4160,1,124.0,mobile,NA,0
836,1,827.0,mobile,NA,1
3489,1,321.0,mobile,APAC,0
1497,1,327.0,mobile,EU,0
1437,1,489.0,desktop,NA,0
632,1,669.0,mobile,EU,0
3923,1,351.0,mobile,NA,1
3880,0,8.0,mobile,EU,0
1343,1,786.0,desktop,NA,0
4978,1,66.0,mobile,NA,0
4314,0,582.0,desktop,EU,0
4551,1,467.0,desktop,APAC,0
2766,0,183.0,mobile,NA,0
1781,1,665.0,desktop,EU,0
1468,1,71.0,desktop,NA,0
5499,1,553.0,mobile,APAC,0
2354,1,625.0,desktop,NA,0
5127,0,187.0,mobile,NA,0
2448,0,107.0,mobile,NA,0
5751,1,759.0,mobile,APAC,0
4031,0,233.0,desktop,NA,0
2273,0,246.0,mobile,NA,0
5988,1,424.0,desktop,NA,0
77,1,594.0,mobile,NA,0
5614,1,416.0,mobile,EU,0
2743,1,282.0,desktop,EU,0
813,1,434.0,mobile,NA,0
4954,1,745.0,desktop,APAC,0
4468,0,47.0,mobile,APAC,0
5859,0,581.0,desktop,NA,0
2732,1,244.0,mobile,EU,0
1380,1,224.0,desktop,EU,0
3092,1,802.0,mobile,EU,0
5815,0,367.0,mobile,NA,0
3298,1,88.0,desktop,EU,0
2077,0,673.0,mobile,APAC,1
3156,1,170.0,mobile,EU,0
2744,1,279.0,desktop,NA,0
4687,0,751.0,mobile,NA,0
4659,0,659.0,desktop,NA,1
5950,1,413.0,desktop,NA,1
1946,1,66.0,desktop,EU,1
1620,1,96.0,mobile,NA,0
1454,1,608.0,mobile,NA,1
5067,1,299.0,mobile,NA,0
4873,0,330.0,desktop,EU,0
2952,1,293.0,mobile,NA,0
3597,0,624.0,mobile,NA,0
1516,1,508.0,mobile,NA,0
